Repository,File Name,Class,Start Line,End Line,Displacement,Level
methods,llamaparse.py,Simple Dictionary,19,22,15,A2
methods,llamaparse.py,Simple Atributte,7,7,19,A2
methods,llamaparse.py,Simple Atributte,12,12,19,A2
methods,llamaparse.py,Simple Assignment,10,10,8,A1
methods,llamaparse.py,Simple Assignment,11,11,8,A1
methods,llamaparse.py,Simple Assignment,14,14,16,A1
methods,llamaparse.py,'raise' exception,17,17,12,B1
methods,llamaparse.py,Import,1,1,0,A2
methods,llamaparse.py,From,3,3,0,A2
methods,llamaparse.py,Simple If statements,16,17,8,A1
methods,llamaparse.py,Simple If statements,13,15,12,A1
methods,llamaparse.py,Simple For Loop,12,15,8,A1
methods,llamaparse.py,'break' statement,15,15,16,B1
methods,llamaparse.py,Function with Simple argument,9,22,4,A1
methods,llamaparse.py,Return,19,22,8,A1
methods,llamaparse.py,Inherited Class from BaseMethod,6,22,0,B1
